Category,Model,Sq Ft,Base Price,Surcharge,Dealer Pack,True Cost,MSRP (65% Markup),Markup Amount,Markup %
Aspire Single Wide,1666H22232,1056,"$41,450",$528,"$2,500","$44,478","$73,389","$28,911",65%
Aspire Single Wide,1666H32085,1056,"$39,995",$528,"$2,500","$43,023","$70,988","$27,965",65%
Aspire Single Wide,1666H32212,1056,"$42,200",$528,"$2,500","$45,228","$74,626","$29,398",65%
Aspire Single Wide,1666H32217,1056,"$41,680",$528,"$2,500","$44,708","$73,768","$29,060",65%
Aspire Single Wide,1666H32219,1056,"$41,035",$528,"$2,500","$44,063","$72,704","$28,641",65%
Aspire Single Wide,1668H22259,1088,"$42,295",$544,"$2,500","$45,339","$74,809","$29,470",65%
Aspire Single Wide,1668H32085,1088,"$40,830",$544,"$2,500","$43,874","$72,392","$28,518",65%
Aspire Single Wide,1668H32087,1088,"$41,850",$544,"$2,500","$44,894","$74,075","$29,181",65%
Aspire Single Wide,1668H32220,1088,"$42,940",$544,"$2,500","$45,984","$75,874","$29,890",65%
Aspire Single Wide,1672H32087,1152,"$43,515",$576,"$2,500","$46,591","$76,875","$30,284",65%
Aspire Single Wide,1672H32090,1152,"$43,495",$576,"$2,500","$46,571","$76,842","$30,271",65%
Aspire Single Wide,1676H32085,1216,"$44,160",$608,"$2,500","$47,268","$77,992","$30,724",65%
Aspire Single Wide,1676H32087,1216,"$45,180",$608,"$2,500","$48,288","$79,675","$31,387",65%
Aspire Single Wide,1676H32089,1216,"$47,995",$608,"$2,500","$51,103","$84,320","$33,217",65%
Aspire Single Wide,1676H32090,1216,"$43,995",$608,"$2,500","$47,103","$77,720","$30,617",65%
Aspire Single Wide,1676H32091,1216,"$48,660",$608,"$2,500","$51,768","$85,417","$33,649",65%
Aspire Single Wide,1676H32107,1216,"$43,995",$608,"$2,500","$47,103","$77,720","$30,617",65%
Aspire Single Wide,1676H32212,1216,"$47,730",$608,"$2,500","$50,838","$83,883","$33,045",65%
Aspire Single Wide,1676H32221,1216,"$48,790",$608,"$2,500","$51,898","$85,632","$33,734",65%
Aspire Single Wide,1676H32222,1216,"$46,395",$608,"$2,500","$49,503","$81,680","$32,177",65%
Aspire Single Wide,1676H32259,1216,"$44,995",$608,"$2,500","$48,103","$79,370","$31,267",65%
Aspire Sectional,40' Monroe,1120,"$48,075",$728,"$2,500","$51,303","$84,650","$33,347",65%
Aspire Sectional,Appleton,1176,"$50,195",$764,"$2,500","$53,459","$88,207","$34,748",65%
Aspire Sectional,44' Monroe,1232,"$50,395",$801,"$2,500","$53,696","$88,598","$34,902",65%
Aspire Sectional,44' Bayfield,1232,"$51,805",$801,"$2,500","$55,106","$90,925","$35,819",65%
Aspire Sectional,48' Monroe,1344,"$52,995",$874,"$2,500","$56,369","$93,009","$36,640",65%
Aspire Sectional,48' Lancaster,1344,"$53,695",$874,"$2,500","$57,069","$94,164","$37,095",65%
Aspire Sectional,48' Bayfield,1344,"$54,165",$874,"$2,500","$57,539","$94,939","$37,400",65%
Aspire Sectional,48' Brighton,1344,"$54,075",$874,"$2,500","$57,449","$94,791","$37,342",65%
Aspire Sectional,48' Lincoln,1344,"$49,995",$874,"$2,500","$53,369","$88,059","$34,690",65%
Aspire Sectional,52' Ventura,1456,"$56,395",$946,"$2,500","$59,841","$98,738","$38,897",65%
Aspire Sectional,52' Pontiac,1456,"$56,795",$946,"$2,500","$60,241","$99,398","$39,157",65%
Aspire Sectional,52' Lancaster,1456,"$55,875",$946,"$2,500","$59,321","$97,880","$38,559",65%
Aspire Sectional,52' Bayfield,1456,"$56,495",$946,"$2,500","$59,941","$98,903","$38,962",65%
Aspire Sectional,52' Brighton,1456,"$56,495",$946,"$2,500","$59,941","$98,903","$38,962",65%
